Channel Id,Channel Url,Channel Title
UCWGl1JQoX90LM8hRuRbdFDA,http://www.youtube.com/channel/UCWGl1JQoX90LM8hRuRbdFDA,打首獄門同好会
UCWTFGPpNQ0Ms6afXhaWDiRw,http://www.youtube.com/channel/UCWTFGPpNQ0Ms6afXhaWDiRw,Now You See It
UCWXCrItCF6ZgXrdozUS-Idw,http://www.youtube.com/channel/UCWXCrItCF6ZgXrdozUS-Idw,ExplosmEntertainment
UCX6b17PVsYBQ0ip5gyeme-Q,http://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse
UCY1kMZp36IQSyNx_9h4mpCg,http://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober
UCYO_jab_esuFRV4b17AJtAw,http://www.youtube.com/channel/UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown
UCZYTClx2T1of7BRZ86-8fow,http://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow,SciShow
UCabaQPYxxKepWUsEVQMT4Kw,http://www.youtube.com/channel/UCabaQPYxxKepWUsEVQMT4Kw,Healthcare Triage
UCajXeitgFL-rb5-gXI-aG8Q,http://www.youtube.com/channel/UCajXeitgFL-rb5-gXI-aG8Q,Great Big Story
UCarCkGvLV1uv5xVUocX13-w,http://www.youtube.com/channel/UCarCkGvLV1uv5xVUocX13-w,Lowart
UCbKWv2x9t6u8yZoB3KcPtnw,http://www.youtube.com/channel/UCbKWv2x9t6u8yZoB3KcPtnw,Alan Becker
UCbL4jfzgj8LNZD4etgA_IeA,http://www.youtube.com/channel/UCbL4jfzgj8LNZD4etgA_IeA,Andrea Dorfman
UCcf1t1tH-Pp5bmu4hbAytwA,http://www.youtube.com/channel/UCcf1t1tH-Pp5bmu4hbAytwA,Escaping Ordinary (B.C Marx) 
UCeiYXex_fwgYDonaTcSIk6w,http://www.youtube.com/channel/UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth
UCftwRNsjfRo08xYE31tkiyw,http://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw,WIRED
UCgDfzIiPpEHMmpkvRYs7x9w,http://www.youtube.com/channel/UCgDfzIiPpEHMmpkvRYs7x9w,Epic Mountain
UChSpME3QaSFAWK8Hpmg-Dyw,http://www.youtube.com/channel/UChSpME3QaSFAWK8Hpmg-Dyw,Calm
UCiCTXJD3ZC7FwP_lminm5QA,http://www.youtube.com/channel/UCiCTXJD3ZC7FwP_lminm5QA,Royal Academy of Arts
UCjFqcJQXGZ6T6sxyFB-5i6A,http://www.youtube.com/channel/UCjFqcJQXGZ6T6sxyFB-5i6A,Every Frame a Painting
UCkxMlA7rt-mnIc1AjbyAsPw,http://www.youtube.com/channel/UCkxMlA7rt-mnIc1AjbyAsPw,sexplanations
UCmGSJVG3mCRXVOP4yZrU1Dw,http://www.youtube.com/channel/UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris
UCn8zNIfYAQNdrFRrr8oibKw,http://www.youtube.com/channel/UCn8zNIfYAQNdrFRrr8oibKw,VICE
UCnVimh35ecf46P_Bt-2AArg,http://www.youtube.com/channel/UCnVimh35ecf46P_Bt-2AArg,DoodleChaos
UCnkEhPBMZcEO0QGu51fDFDg,http://www.youtube.com/channel/UCnkEhPBMZcEO0QGu51fDFDg,Marginal Revolution University
UCo6DJdltbIub80bLiyJRv3w,http://www.youtube.com/channel/UCo6DJdltbIub80bLiyJRv3w,MrGear
UCoxcjq-8xIDTYp3uz647V5A,http://www.youtube.com/channel/UCoxcjq-8xIDTYp3uz647V5A,Numberphile
UCq6aw03lNILzV96UvEAASfQ,http://www.youtube.com/channel/UCq6aw03lNILzV96UvEAASfQ,bill wurtz
UCsBjURrPoezykLs9EqgamOA,http://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,Fireship
UCsEukrAd64fqA7FjwkmZ_Dw,http://www.youtube.com/channel/UCsEukrAd64fqA7FjwkmZ_Dw,GQ
UCsXVk37bltHxD1rDPwtNM8Q,http://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell
UCsnZXdLOGBnezK--CiG7FZQ,http://www.youtube.com/channel/UCsnZXdLOGBnezK--CiG7FZQ,Torres Pit托哥
UCsooa4yRKGN_zEE8iknghZA,http://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA,TED-Ed
UCtYzVCmNxrshH4_bPO_-Y-A,http://www.youtube.com/channel/UCtYzVCmNxrshH4_bPO_-Y-A,The Art of Improvement
UCuhAUKCdKrjYoMiJQc74ZkQ,http://www.youtube.com/channel/UCuhAUKCdKrjYoMiJQc74ZkQ,TuTu生活志
UCvBqzzvUBLCs8Y7Axb-jZew,http://www.youtube.com/channel/UCvBqzzvUBLCs8Y7Axb-jZew,Sixty Symbols
UCvQECJukTDE2i6aCoMnS-Vg,http://www.youtube.com/channel/UCvQECJukTDE2i6aCoMnS-Vg,Big Think
UCy0Pr5u-MwGXXzp_GDd4m_g,http://www.youtube.com/channel/UCy0Pr5u-MwGXXzp_GDd4m_g,Julie Nolke
UCyWDmyZRjrGHeKF-ofFsT5Q,http://www.youtube.com/channel/UCyWDmyZRjrGHeKF-ofFsT5Q,Internet Comment Etiquette with Erik
UCyh_y1SIGj_cUqMeoewO5_w,http://www.youtube.com/channel/UCyh_y1SIGj_cUqMeoewO5_w,叨叨冯聊音乐
UCykcNNIwJeJGGuLac6akyPw,http://www.youtube.com/channel/UCykcNNIwJeJGGuLac6akyPw,三坨土
UCzWQYUVCpZqtN93H8RR44Qw,http://www.youtube.com/channel/UCzWQYUVCpZqtN93H8RR44Qw,Seeker





